2019-09-16 21:53:05,830  root       INFO    [Console] - Now logging under configuration
2019-09-16 21:53:05,830  root       ERROR   Failed to load substitutions file
2019-09-16 21:53:05,861  root       WARNING Missing value for [default_userid] in config, return default value Console
2019-09-16 21:53:05,861  root       WARNING Missing value for [description] in config, return default value ProgramY AIML2.0 Client
2019-09-16 21:53:05,861  root       WARNING Missing value for [tab_parse_output] in config, return default value True
2019-09-16 21:53:05,861  root       WARNING Missing value for [alphabet] in config, return default value None
2019-09-16 21:53:05,861  root       WARNING Missing value for [max_histories] in config, return default value 100
2019-09-16 21:53:05,861  root       WARNING Missing value for [initial_topic] in config, return default value *
2019-09-16 21:53:05,862  root       WARNING Missing value for [restore_last_topic] in config, return default value False
2019-09-16 21:53:05,862  root       WARNING Missing value for [empty_on_start] in config, return default value False
2019-09-16 21:53:05,862  root       WARNING Missing value for [multi_client] in config, return default value False
2019-09-16 21:53:05,862  root       WARNING 'splitter' section missing from bot config, using defaults
2019-09-16 21:53:05,862  root       WARNING 'joiner' section missing from bot config, using defaults
2019-09-16 21:53:05,862  root       WARNING 'translation' section missing from bot config, using defaults
2019-09-16 21:53:05,862  root       WARNING 'translation' section missing from bot config, using defaults
2019-09-16 21:53:05,862  root       WARNING 'sentiment' section missing from bot config, using defaults
2019-09-16 21:53:05,862  root       WARNING Missing value for [save_as_user] in config, return default value system
2019-09-16 21:53:05,862  root       WARNING Missing value for [port] in config, return None
2019-09-16 21:53:05,862  root       WARNING Missing value for [url] in config, return default value None
2019-09-16 21:53:05,862  root       WARNING Missing value for [method] in config, return default value None
2019-09-16 21:53:05,862  root       WARNING Missing value for [host] in config, return default value None
2019-09-16 21:53:05,863  root       WARNING Missing value for [port] in config, return None
2019-09-16 21:53:05,863  root       WARNING Missing value for [method] in config, return default value None
2019-09-16 21:53:05,863  root       WARNING Missing value for [host] in config, return default value None
2019-09-16 21:53:05,863  root       WARNING Missing value for [port] in config, return None
2019-09-16 21:53:05,863  root       WARNING Missing value for [method] in config, return default value None
2019-09-16 21:53:05,863  root       WARNING Missing value for [host] in config, return default value None
2019-09-16 21:53:05,863  root       WARNING Missing value for [port] in config, return None
2019-09-16 21:53:05,863  root       WARNING Missing value for [url] in config, return default value None
2019-09-16 21:53:05,863  root       WARNING Missing value for [method] in config, return default value None
2019-09-16 21:53:05,863  root       WARNING Missing value for [host] in config, return default value None
2019-09-16 21:53:05,863  root       WARNING Missing value for [port] in config, return None
2019-09-16 21:53:05,863  root       WARNING Config section [openchatbots] missing from Brain, no openchatbots loaded
2019-09-16 21:53:05,863  root       WARNING Missing value for [denied_text] in config, return default value Access denied!
2019-09-16 21:53:05,863  root       WARNING Missing value for [denied_text] in config, return default value Access denied!
2019-09-16 21:53:05,864  root       WARNING 'security' section missing from bot config, using to defaults
2019-09-16 21:53:05,864  root       WARNING 'tokenizer' section missing from bot config, using defaults
2019-09-16 21:53:05,864  root       WARNING Missing value for [brain_selector] in config, return default value None
2019-09-16 21:53:05,864  root       WARNING Missing value for [bot_selector] in config, return default value programy.clients.client.DefaultBotSelector
2019-09-16 21:53:05,865  root       WARNING Missing value for [format] in config, return default value None
2019-09-16 21:53:05,866  root       WARNING Missing value for [encoding] in config, return default value None
2019-09-16 21:53:05,866  root       WARNING Missing value for [delete_on_start] in config, return default value False
2019-09-16 21:53:05,866  root       WARNING Missing value for [dirs] in config, return default value
2019-09-16 21:53:05,866  root       WARNING Missing value for [format] in config, return default value None
2019-09-16 21:53:05,866  root       WARNING Missing value for [encoding] in config, return default value None
2019-09-16 21:53:05,866  root       WARNING Missing value for [delete_on_start] in config, return default value False
2019-09-16 21:53:05,866  root       WARNING Missing value for [dirs] in config, return default value
2019-09-16 21:53:05,866  root       WARNING Missing value for [format] in config, return default value None
2019-09-16 21:53:05,867  root       WARNING Missing value for [encoding] in config, return default value None
2019-09-16 21:53:05,867  root       WARNING Missing value for [delete_on_start] in config, return default value False
2019-09-16 21:53:05,867  root       WARNING Missing value for [extension] in config, return default value None
2019-09-16 21:53:05,867  root       WARNING Missing value for [subdirs] in config, return default value False
2019-09-16 21:53:05,867  root       WARNING Missing value for [format] in config, return default value None
2019-09-16 21:53:05,867  root       WARNING Missing value for [encoding] in config, return default value None
2019-09-16 21:53:05,867  root       WARNING Missing value for [delete_on_start] in config, return default value False
2019-09-16 21:53:05,867  root       WARNING Missing value for [extension] in config, return default value None
2019-09-16 21:53:05,867  root       WARNING Missing value for [subdirs] in config, return default value False
2019-09-16 21:53:05,867  root       WARNING Missing value for [format] in config, return default value None
2019-09-16 21:53:05,867  root       WARNING Missing value for [encoding] in config, return default value None
2019-09-16 21:53:05,867  root       WARNING Missing value for [delete_on_start] in config, return default value False
2019-09-16 21:53:05,867  root       WARNING Missing value for [subdirs] in config, return default value False
2019-09-16 21:53:05,867  root       WARNING Missing value for [format] in config, return default value None
2019-09-16 21:53:05,868  root       WARNING Missing value for [encoding] in config, return default value None
2019-09-16 21:53:05,868  root       WARNING Missing value for [delete_on_start] in config, return default value False
2019-09-16 21:53:05,868  root       WARNING Missing value for [subdirs] in config, return default value False
2019-09-16 21:53:05,868  root       WARNING Missing value for [format] in config, return default value None
2019-09-16 21:53:05,868  root       WARNING Missing value for [encoding] in config, return default value None
2019-09-16 21:53:05,868  root       WARNING Missing value for [delete_on_start] in config, return default value False
2019-09-16 21:53:05,868  root       WARNING Missing value for [format] in config, return default value None
2019-09-16 21:53:05,868  root       WARNING Missing value for [encoding] in config, return default value None
2019-09-16 21:53:05,868  root       WARNING Missing value for [delete_on_start] in config, return default value False
2019-09-16 21:53:05,868  root       WARNING Missing value for [dirs] in config, return default value
2019-09-16 21:53:05,868  root       WARNING Missing value for [format] in config, return default value None
2019-09-16 21:53:05,868  root       WARNING Missing value for [encoding] in config, return default value None
2019-09-16 21:53:05,869  root       WARNING Missing value for [delete_on_start] in config, return default value False
2019-09-16 21:53:05,869  root       WARNING Missing value for [dirs] in config, return default value
2019-09-16 21:53:05,869  root       WARNING Missing value for [format] in config, return default value None
2019-09-16 21:53:05,869  root       WARNING Missing value for [encoding] in config, return default value None
2019-09-16 21:53:05,869  root       WARNING Missing value for [delete_on_start] in config, return default value False
2019-09-16 21:53:05,869  root       WARNING Missing value for [dirs] in config, return default value
2019-09-16 21:53:05,869  root       WARNING Missing value for [format] in config, return default value None
2019-09-16 21:53:05,869  root       WARNING Missing value for [encoding] in config, return default value None
2019-09-16 21:53:05,869  root       WARNING Missing value for [delete_on_start] in config, return default value False
2019-09-16 21:53:05,869  root       WARNING Missing value for [dirs] in config, return default value
